Geopolitical entity (reporting),geo,TIME_PERIOD,Personnel in adult prison,Personnel in juvenile prison,Police officers,Professional judges
Sweden,SE,2016,6088.0,3585.0,20025.0,820.0
Sweden,SE,2017,6072.0,3513.0,19741.0,855.0
Sweden,SE,2018,6050.0,3568.0,20040.0,867.0
Sweden,SE,2019,6036.0,3620.0,20423.0,848.0
Sweden,SE,2020,6815.0,3771.0,20942.0,859.0
Sweden,SE,2021,7098.0,3712.0,21386.0,897.0
Sweden,SE,2022,7569.0,3806.0,21981.0,919.0
Sweden,SE,2023,8878.0,4068.0,22980.0,949.0
Switzerland,CH,2008,3400.0,,16326.0,1229.0
Switzerland,CH,2009,,,17058.0,1089.0
Switzerland,CH,2010,,,17208.0,1142.0
Switzerland,CH,2011,,,17263.0,
Switzerland,CH,2012,3812.0,,17630.0,1271.0
Switzerland,CH,2013,,,17816.0,
Switzerland,CH,2014,4012.0,,17818.0,
Switzerland,CH,2015,4174.0,,18150.0,
Switzerland,CH,2016,4169.0,,18260.0,1251.0
Switzerland,CH,2017,4382.0,,18393.0,
Switzerland,CH,2018,4496.0,,18413.0,1224.0
Switzerland,CH,2019,4467.0,,18801.0,
Switzerland,CH,2020,4504.0,,18922.0,1303.0
Switzerland,CH,2021,4508.0,,19397.0,
Switzerland,CH,2022,4669.0,,18910.0,
Switzerland,CH,2023,,,18821.0,
Türkiye,TR,2009,25987.0,533.0,368133.0,6203.0
Türkiye,TR,2010,28718.0,532.0,371478.0,6236.0
Türkiye,TR,2011,34646.0,736.0,370547.0,6189.0
Türkiye,TR,2012,40561.0,740.0,377931.0,6371.0
Türkiye,TR,2013,43295.0,779.0,,7455.0
Türkiye,TR,2014,45459.0,819.0,,6841.0
Türkiye,TR,2015,45799.0,912.0,360611.0,6587.0
Türkiye,TR,2016,47828.0,936.0,363798.0,6837.0
Türkiye,TR,2017,53307.0,221.0,390840.0,8908.0
Türkiye,TR,2018,54843.0,314.0,471302.0,10993.0
Türkiye,TR,2019,60396.0,330.0,435059.0,11655.0
Türkiye,TR,2020,65347.0,323.0,439062.0,12474.0
Türkiye,TR,2021,66376.0,315.0,452170.0,12877.0
Türkiye,TR,2022,70950.0,310.0,461570.0,12942.0
Türkiye,TR,2023,70666.0,1954.0,482844.0,13639.0
